timestamp,split,agent_id,area,shared_cash_before_bdt,shared_cash_after_bdt,shared_cash_safe_threshold_bdt,total_cash_in_bdt,total_cash_out_bdt,net_cash_change_bdt,authorized_cash_support_bdt,event_context,ground_truth_shortage_within_6h,ground_truth_shortage_minutes,next_shared_cash_bdt
2026-05-01T00:00:00+00:00,train,AGT-SYL-001,Zindabazar,220240,219110,28000,2840,3970,0,0,payday+weekend,0,,219250
2026-05-01T01:00:00+00:00,train,AGT-SYL-001,Zindabazar,219110,219250,28000,3560,3420,140,0,payday+weekend,0,,215040
2026-05-01T02:00:00+00:00,train,AGT-SYL-001,Zindabazar,219250,215040,28000,18990,23200,0,0,payday+weekend,0,,213780
2026-05-01T03:00:00+00:00,train,AGT-SYL-001,Zindabazar,215040,213780,28000,24130,25390,0,0,payday+weekend,0,,204780
2026-05-01T04:00:00+00:00,train,AGT-SYL-001,Zindabazar,213780,204780,28000,20220,29220,0,0,payday+weekend,0,,199520
2026-05-01T05:00:00+00:00,train,AGT-SYL-001,Zindabazar,204780,199520,28000,28340,33600,0,0,payday+weekend,0,,203800
2026-05-01T06:00:00+00:00,train,AGT-SYL-001,Zindabazar,199520,203800,28000,32660,28380,4280,0,payday+weekend,0,,216070
2026-05-01T07:00:00+00:00,train,AGT-SYL-001,Zindabazar,203800,216070,28000,39300,27030,12270,0,payday+weekend,0,,214200
2026-05-01T08:00:00+00:00,train,AGT-SYL-001,Zindabazar,216070,214200,28000,28510,30380,0,0,payday+weekend,0,,212130
2026-05-01T09:00:00+00:00,train,AGT-SYL-001,Zindabazar,214200,212130,28000,32030,34100,0,0,payday+weekend,0,,215210
2026-05-01T10:00:00+00:00,train,AGT-SYL-001,Zindabazar,212130,215210,28000,35870,32790,3080,0,payday+weekend,0,,211130
2026-05-01T11:00:00+00:00,train,AGT-SYL-001,Zindabazar,215210,211130,28000,26770,30850,0,0,payday+weekend,0,,205070
2026-05-01T12:00:00+00:00,train,AGT-SYL-001,Zindabazar,211130,205070,28000,23200,29260,0,0,payday+weekend,0,,200810
2026-05-01T13:00:00+00:00,train,AGT-SYL-001,Zindabazar,205070,200810,28000,25100,29360,0,0,payday+weekend,0,,202430
2026-05-01T14:00:00+00:00,train,AGT-SYL-001,Zindabazar,200810,202430,28000,24890,23270,1620,0,payday+weekend,0,,200490
2026-05-01T15:00:00+00:00,train,AGT-SYL-001,Zindabazar,202430,200490,28000,21580,23520,0,0,payday+weekend,0,,200010
2026-05-01T16:00:00+00:00,train,AGT-SYL-001,Zindabazar,200490,200010,28000,3520,4000,0,0,payday+weekend,0,,199840
2026-05-01T17:00:00+00:00,train,AGT-SYL-001,Zindabazar,200010,199840,28000,3510,3680,0,0,payday+weekend,0,,199620
2026-05-01T18:00:00+00:00,train,AGT-SYL-001,Zindabazar,199840,199620,28000,3780,4000,0,0,payday+weekend,0,,199490
2026-05-01T19:00:00+00:00,train,AGT-SYL-001,Zindabazar,199620,199490,28000,3550,3680,0,0,payday+weekend,0,,199140
2026-05-01T20:00:00+00:00,train,AGT-SYL-001,Zindabazar,199490,199140,28000,3410,3760,0,0,payday+weekend,0,,198810
2026-05-01T21:00:00+00:00,train,AGT-SYL-001,Zindabazar,199140,198810,28000,4040,4370,0,0,payday+weekend,0,,197610
2026-05-01T22:00:00+00:00,train,AGT-SYL-001,Zindabazar,198810,197610,28000,3070,4270,0,0,payday+weekend,0,,197950
2026-05-01T23:00:00+00:00,train,AGT-SYL-001,Zindabazar,197610,197950,28000,3820,3480,340,0,payday+weekend,0,,197520
2026-05-02T00:00:00+00:00,train,AGT-SYL-001,Zindabazar,197950,197520,28000,3470,3900,0,0,payday+weekend,0,,197200
2026-05-02T01:00:00+00:00,train,AGT-SYL-001,Zindabazar,197520,197200,28000,3810,4130,0,0,payday+weekend,0,,195870
2026-05-02T02:00:00+00:00,train,AGT-SYL-001,Zindabazar,197200,195870,28000,20640,21970,0,0,payday+weekend,0,,192280
2026-05-02T03:00:00+00:00,train,AGT-SYL-001,Zindabazar,195870,192280,28000,21640,25230,0,0,payday+weekend,0,,183790
