timestamp,split,agent_id,area,provider,cash_in_bdt,cash_out_bdt,provider_emoney_before_bdt,provider_emoney_after_bdt,provider_safe_threshold_bdt,authorized_topup_bdt,feed_status,feed_age_minutes,ground_truth_anomaly,ground_truth_anomaly_type,ground_truth_data_quality_issue,event_context,shared_cash_after_bdt,shared_cash_safe_threshold_bdt
2026-05-01T00:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,1110,1710,91360,91960,15000,0,fresh,4,0,none,0,payday+weekend,219110,28000
2026-05-01T00:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,990,1520,103930,104460,17000,0,fresh,1,0,none,0,payday+weekend,219110,28000
2026-05-01T00:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,740,740,99760,99760,19000,0,fresh,1,0,none,0,payday+weekend,219110,28000
2026-05-01T01:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,1560,1520,91960,91920,15000,0,fresh,2,0,none,0,payday+weekend,219250,28000
2026-05-01T01:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,1120,940,104460,104280,17000,0,fresh,6,0,none,0,payday+weekend,219250,28000
2026-05-01T01:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,880,960,99760,99840,19000,0,fresh,5,0,none,0,payday+weekend,219250,28000
2026-05-01T02:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,8540,8660,91920,92040,15000,0,fresh,7,0,none,0,payday+weekend,215040,28000
2026-05-01T02:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,6500,8550,104280,106330,17000,0,fresh,5,0,none,0,payday+weekend,215040,28000
2026-05-01T02:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,3950,5990,99840,101880,19000,0,fresh,2,0,none,0,payday+weekend,215040,28000
2026-05-01T03:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,9440,10500,92040,93100,15000,0,fresh,7,0,none,0,payday+weekend,213780,28000
2026-05-01T03:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,8640,8650,106330,106340,17000,0,fresh,5,0,none,0,payday+weekend,213780,28000
2026-05-01T03:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,6050,6240,101880,102070,19000,0,fresh,4,0,none,0,payday+weekend,213780,28000
2026-05-01T04:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,7190,14000,93100,99910,15000,0,fresh,4,0,none,0,payday+weekend,204780,28000
2026-05-01T04:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,7440,9400,106340,108300,17000,0,fresh,7,0,none,0,payday+weekend,204780,28000
2026-05-01T04:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,5590,5820,102070,102300,19000,0,fresh,1,0,none,0,payday+weekend,204780,28000
2026-05-01T05:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,10900,13150,99910,102160,15000,0,fresh,5,0,none,0,payday+weekend,199520,28000
2026-05-01T05:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,10390,11850,108300,109760,17000,0,fresh,6,0,none,0,payday+weekend,199520,28000
2026-05-01T05:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,7050,8600,102300,103850,19000,0,fresh,4,0,none,0,payday+weekend,199520,28000
2026-05-01T06:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,16140,8580,102160,94600,15000,0,fresh,3,0,none,0,payday+weekend,203800,28000
2026-05-01T06:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,9780,12160,109760,112140,17000,0,fresh,6,0,none,0,payday+weekend,203800,28000
2026-05-01T06:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,6740,7640,103850,104750,19000,0,fresh,1,0,none,0,payday+weekend,203800,28000
2026-05-01T07:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,18210,10040,94600,86430,15000,0,fresh,6,0,none,0,payday+weekend,216070,28000
2026-05-01T07:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,12420,11780,112140,111500,17000,0,fresh,7,0,none,0,payday+weekend,216070,28000
2026-05-01T07:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,8670,5210,104750,101290,19000,0,fresh,2,0,none,0,payday+weekend,216070,28000
2026-05-01T08:00:00+00:00,train,AGT-SYL-001,Zindabazar,bKash,9920,13450,86430,89960,15000,0,fresh,6,0,none,0,payday+weekend,214200,28000
2026-05-01T08:00:00+00:00,train,AGT-SYL-001,Zindabazar,Nagad,10360,10860,111500,112000,17000,0,fresh,5,0,none,0,payday+weekend,214200,28000
2026-05-01T08:00:00+00:00,train,AGT-SYL-001,Zindabazar,Rocket,8230,6070,101290,99130,19000,0,fresh,3,0,none,0,payday+weekend,214200,28000
